89941591	151885	20200217
89941591	149169	20200107
89941591	149152	20200626
89941591	145950	20201202
89941591	149723	20200724
89941591	151040	20200508
89941591	151508	20201115
89941591	149369	20201119
89941591	152108	20200201
89941591	151649	20200819
89941591	148389	20200317
89941591	151659	20200710
89941591	151058	20201003
89941591	152106	20200924
89941591	149680	20201012
89941591	151613	20200602
00000001	151885	20200217
00000001	149169	20200107
00000001	149152	20200626
00000001	145950	20201202
00000001	149723	20200724
00000001	151040	20200508
00000001	151508	20201115
00000001	149369	20201119
00000001	152108	20200201
00000001	151649	20200819
00000001	148389	20200317
00000001	151659	20200710
00000001	151058	20201003
00000001	152106	20200924
00000001	149680	20201012
00000001	151613	20200602
60789277	152146	20201108
60789277	151708	20200807
60789277	151792	20201014
60789277	145659	20200107
60789277	151750	20201105
60789277	145791	20200811
60789277	148193	20200724
60789277	149774	20200826
60789277	151313	20200512
60789277	149169	20200107
60789277	149416	20201206
60789277	150095	20201210
60789277	148097	20200713
60789277	151240	20200613
85702550	135880	20200427
85702550	149865	20200620
85702550	150094	20200824
85702550	149746	20200817
85702550	145862	20201106
53595770	133886	20200305
53595770	148993	20200208
53595770	150575	20201006
53595770	150094	20200824
53595770	151065	20200604
53595770	148732	20201201
53595770	151504	20200807
53595770	151883	20200517
53595770	132817	20200921
53595770	148995	20200917
35972063	145023	20200321
35972063	151604	20200304
35972063	149152	20200626
35972063	151737	20200213
35972063	151952	20200607
35972063	148179	20201203
35972063	151655	20201211
35972063	147774	20200723
35972063	151343	20200227
35972063	150832	20201202
35972063	150554	20200608
35972063	151705	20200123
35972063	151639	20201024
35972063	151926	20200802
35972063	152016	20200607
35972063	149290	20201220
35972063	149290	20201008
35972063	151708	20200807
35972063	151902	20200305
35972063	151974	20200614
35972063	152147	20200605
35972063	148732	20201201
87170913	143344	20200125
87170913	151604	20200304
87170913	151482	20200501
52796738	151926	20200802
52796738	151597	20200109
52796738	148929	20200107
52796738	151906	20200113
52796738	150095	20201210
52796738	150096	20200116
52796738	132814	20200607
52796738	151436	20200704
52796738	150432	20200919
52796738	143766	20200910
52796738	149452	20200817
52796738	148767	20200813
52796738	151639	20201024
52796738	143767	20200216
16726917	151815	20200402
16726917	151508	20201115
16726917	151911	20200104
16726917	152246	20201112
16726917	135879	20200819
16726917	151226	20200621
16726917	151455	20201010
16726917	150554	20200608
16726917	143353	20200911
16726917	150638	20200520
16726917	147640	20201220
41971371	151257	20200810
41971371	150350	20200616
41971371	151792	20201014
41971371	143345	20200123
41971371	149452	20200817
41971371	143349	20200810
41971371	151011	20200214
41971371	148767	20200813
41971371	151685	20200821
41971371	151769	20201204
41971371	151223	20200502
41971371	152182	20200306
41971371	151034	20200716
41971371	145585	20201113
41971371	151466	20200911
41971371	151226	20200621
41971371	149155	20201116
41971371	151053	20200504
41971371	148777	20200922
41971371	149290	20201220
41971371	147534	20200621
41434096	129626	20201127
41434096	151660	20201020
41434096	150507	20201215
