87904387	151034	6	5
89941591	151655	6	3
60789277	150554	4	9
85702550	151821	3	3
53595770	151052	2	7
35972063	151053	2	9
87170913	151501	5	7
52796738	150260	3	3
16726917	150286	6	9
41971371	150319	7	8
41434096	149843	7	4
71264089	149374	6	7
49888474	151269	4	7
95924433	151897	2	6
39839060	151320	7	9
92441735	151322	4	2
69594994	151601	6	3
57262804	151658	4	1
63844530	145950	1	3
56994440	148389	2	2
30665279	150134	8	9
54318885	150154	8	6
64259044	149202	6	3
22799318	149204	7	6
37794634	150801	6	9
99784550	149501	6	10
22450773	147218	4	7
32176661	150294	2	3
99678586	151672	3	7
28684173	145023	2	10
23117070	151496	2	1
67612067	147640	4	3
37277008	151689	1	7
39818681	151240	2	4
53607387	148097	8	9
40338887	148949	1	4
19606733	151819	2	3
21256750	149155	8	4
48948462	149369	8	2
13769474	149319	4	3
53077216	150575	1	10
64233857	151871	2	2
11330583	151869	4	10
23603085	149950	4	6
18903950	151815	6	3
55404425	151530	6	5
70291722	150107	3	5
17580569	152062	6	2
48911515	151613	3	3
62901695	152016	3	1
90712711	149016	2	7
47112711	148671	8	4
62794879	149169	7	4
29426013	150331	6	4
75507799	148979	3	10
40753195	148993	8	10
62475981	148994	8	9
87552692	148995	6	8
86933834	150965	2	8
69677788	151011	7	4
27795849	151708	1	3
17488205	147774	1	1
97485071	147776	6	5
28920184	150350	6	1
97622731	150930	3	3
54238425	151926	1	7
31288349	149865	2	10
26648325	151670	8	8
35784896	151671	6	7
84700017	150534	6	9
22238085	150569	6	8
65240902	149795	4	7
65848569	151429	6	8
15262284	151639	4	9
59179889	149921	8	1
54693388	151259	5	4
97898579	151257	2	3
19064662	151261	6	2
13692103	151258	1	3
78094122	151260	7	5
35659490	152182	2	9
62536042	152184	3	10
23023307	151313	2	8
38607456	149723	2	2
80033859	149746	8	8
17261472	149774	8	10
66996129	151327	7	4
82160445	150407	2	3
12919295	151976	4	3
40397478	147525	1	4
91273232	147530	3	10
27151777	147534	2	2
68268016	149290	7	6
68164094	149309	4	3
90285228	148767	1	10
18097676	149680	7	7
88372908	151353	8	10
75570994	151466	8	9
59965271	143330	3	10
86976237	143332	7	10
